id,title_in_arabic,title_in_indonesian,title_in_english,transliteration
1,"سُورَةُ ٱلْفَاتِحَةِ","Surat Al-Fatihah","The Opening","Al-Faatiha"
2,"سُورَةُ البَقَرَةِ","Surat Al-Baqara","The Cow","Al-Baqara"
3,"سُورَةُ آلِ عِمۡرَانَ","Surat Aal-i-Imraan","The Family of Imran","Aal-i-Imraan"
4,"سُورَةُ النِّسَاءِ","Surat An-Nisaa","The Women","An-Nisaa"
5,"سُورَةُ المَائـِدَةِ","Surat Al-Maaida","The Table Spread","Al-Maaida"
6,"سُورَةُ الأَنۡعَامِ","Surat Al-An'aam","The Cattle","Al-An'aam"
7,"سُورَةُ الأَعۡرَافِ","Surat Al-A'raaf","The Heights","Al-A'raaf"
8,"سُورَةُ الأَنفَالِ","Surat Al-Anfaal","The Spoils of War","Al-Anfaal"
9,"سُورَةُ التَّوۡبَةِ","Surat At-Tawba","The Repentance","At-Tawba"
10,"سُورَةُ يُونُسَ","Surat Yunus","Jonah","Yunus"
11,"سُورَةُ هُودٍ","Surat Hud","Hud","Hud"
12,"سُورَةُ يُوسُفَ","Surat Yusuf","Joseph","Yusuf"
13,"سُورَةُ الرَّعۡدِ","Surat Ar-Ra'd","The Thunder","Ar-Ra'd"
14,"سُورَةُ إِبۡرَاهِيمَ","Surat Ibrahim","Abraham","Ibrahim"
15,"سُورَةُ الحِجۡرِ","Surat Al-Hijr","The Rocky Tract","Al-Hijr"
16,"سُورَةُ النَّحۡلِ","Surat An-Nahl","The Bee","An-Nahl"
17,"سُورَةُ الإِسۡرَاءِ","Surat Al-Israa","The Night Journey","Al-Israa"
18,"سُورَةُ الكَهۡفِ","Surat Al-Kahf","The Cave","Al-Kahf"
19,"سُورَةُ مَرۡيَمَ","Surat Maryam","Mary","Maryam"
20,"سُورَةُ طه","Surat Taa-Haa","Taa-Haa","Taa-Haa"
21,"سُورَةُ الأَنبِيَاءِ","Surat Al-Anbiyaa","The Prophets","Al-Anbiyaa"
22,"سُورَةُ الحَجِّ","Surat Al-Hajj","The Pilgrimage","Al-Hajj"
23,"سُورَةُ المُؤۡمِنُونَ","Surat Al-Muminoon","The Believers","Al-Muminoon"
24,"سُورَةُ النُّورِ","Surat An-Noor","The Light","An-Noor"
25,"سُورَةُ الفُرۡقَانِ","Surat Al-Furqaan","The Criterion","Al-Furqaan"
26,"سُورَةُ الشُّعَرَاءِ","Surat Ash-Shu'araa","The Poets","Ash-Shu'araa"
27,"سُورَةُ النَّمۡلِ","Surat An-Naml","The Ant","An-Naml"
28,"سُورَةُ القَصَصِ","Surat Al-Qasas","The Stories","Al-Qasas"
29,"سُورَةُ العَنكَبُوتِ","Surat Al-Ankaboot","The Spider","Al-Ankaboot"
30,"سُورَةُ الرُّومِ","Surat Ar-Room","The Romans","Ar-Room"
31,"سُورَةُ لُقۡمَانَ","Surat Luqman","Luqman","Luqman"
32,"سُورَةُ السَّجۡدَةِ","Surat As-Sajda","The Prostration","As-Sajda"
33,"سُورَةُ الأَحۡزَابِ","Surat Al-Ahzaab","The Combined Forces","Al-Ahzaab"
34,"سُورَةُ سَبَإٍ","Surat Saba","Sheba","Saba"
35,"سُورَةُ فَاطِرٍ","Surat Faatir","The Originator","Faatir"
36,"سُورَةُ يسٓ","Surat Yaseen","Yaseen","Yaseen"
37,"سُورَةُ الصَّافَّاتِ","Surat As-Saaffaat","Those who set the Ranks","As-Saaffaat"
38,"سُورَةُ صٓ","Surat Saad","Saad","Saad"
39,"سُورَةُ الزُّمَرِ","Surat Az-Zumar","The Troops","Az-Zumar"
40,"سُورَةُ غَافِرٍ","Surat Ghafir","The Forgiver","Ghafir"
41,"سُورَةُ فُصِّلَتۡ","Surat Fussilat","Explained in Detail","Fussilat"
42,"سُورَةُ الشُّورَىٰ","Surat Ash-Shura","The Consultation","Ash-Shura"
43,"سُورَةُ الزُّخۡرُفِ","Surat Az-Zukhruf","The Gold Adornments","Az-Zukhruf"
44,"سُورَةُ الدُّخَانِ","Surat Ad-Dukhaan","The Smoke","Ad-Dukhaan"
45,"سُورَةُ الجَاثِيَةِ","Surat Al-Jaathiya","The Crouching","Al-Jaathiya"
46,"سُورَةُ الأَحۡقَافِ","Surat Al-Ahqaf","The Wind-Curved Sandhills","Al-Ahqaf"
47,"سُورَةُ مُحَمَّدٍ","Surat Muhammad","Muhammad","Muhammad"
48,"سُورَةُ الفَتۡحِ","Surat Al-Fath","The Victory","Al-Fath"
49,"سُورَةُ الحُجُرَاتِ","Surat Al-Hujuraat","The Rooms","Al-Hujuraat"
50,"سُورَةُ قٓ","Surat Qaaf","Qaaf","Qaaf"
51,"سُورَةُ الذَّارِيَاتِ","Surat Adh-Dhaariyat","The Winnowing Winds","Adh-Dhaariyat"
52,"سُورَةُ الطُّورِ","Surat At-Tur","The Mount","At-Tur"
53,"سُورَةُ النَّجۡمِ","Surat An-Najm","The Star","An-Najm"
54,"سُورَةُ القَمَرِ","Surat Al-Qamar","The Moon","Al-Qamar"
55,"سُورَةُ الرَّحۡمَٰن","Surat Ar-Rahmaan","The Beneficent","Ar-Rahmaan"
56,"سُورَةُ الوَاقِعَةِ","Surat Al-Waaqia","The Inevitable","Al-Waaqia"
57,"سُورَةُ الحَدِيدِ","Surat Al-Hadid","The Iron","Al-Hadid"
58,"سُورَةُ المُجَادلَةِ","Surat Al-Mujaadila","The Pleading Woman","Al-Mujaadila"
59,"سُورَةُ الحَشۡرِ","Surat Al-Hashr","The Exile","Al-Hashr"
60,"سُورَةُ المُمۡتَحنَةِ","Surat Al-Mumtahana","She that is to be examined","Al-Mumtahana"
61,"سُورَةُ الصَّفِّ","Surat As-Saff","The Ranks","As-Saff"
62,"سُورَةُ الجُمُعَةِ","Surat Al-Jumu'a","The Congregation","Al-Jumu'a"
63,"سُورَةُ المُنَافِقُونَ","Surat Al-Munaafiqoon","The Hypocrites","Al-Munaafiqoon"
64,"سُورَةُ التَّغَابُنِ","Surat At-Taghaabun","The Mutual Disillusion","At-Taghaabun"
65,"سُورَةُ الطَّلَاقِ","Surat At-Talaaq","The Divorce","At-Talaaq"
66,"سُورَةُ التَّحۡرِيمِ","Surat At-Tahrim","The Prohibition","At-Tahrim"
67,"سُورَةُ المُلۡكِ","Surat Al-Mulk","The Sovereignty","Al-Mulk"
68,"سُورَةُ القَلَمِ","Surat Al-Qalam","The Pen","Al-Qalam"
69,"سُورَةُ الحَاقَّةِ","Surat Al-Haaqqa","The Reality","Al-Haaqqa"
70,"سُورَةُ المَعَارِجِ","Surat Al-Ma'aarij","The Ascending Stairways","Al-Ma'aarij"
71,"سُورَةُ نُوحٍ","Surat Nooh","Noah","Nooh"
72,"سُورَةُ الجِنِّ","Surat Al-Jinn","The Jinn","Al-Jinn"
73,"سُورَةُ المُزَّمِّلِ","Surat Al-Muzzammil","The Enshrouded One","Al-Muzzammil"
74,"سُورَةُ المُدَّثِّرِ","Surat Al-Muddaththir","The Cloaked One","Al-Muddaththir"
75,"سُورَةُ القِيَامَةِ","Surat Al-Qiyaama","The Resurrection","Al-Qiyaama"
76,"سُورَةُ الإِنسَانِ","Surat Al-Insaan","Man","Al-Insaan"
77,"سُورَةُ المُرۡسَلَاتِ","Surat Al-Mursalaat","The Emissaries","Al-Mursalaat"
78,"سُورَةُ النَّبَإِ","Surat An-Naba","The Announcement","An-Naba"
79,"سُورَةُ النَّازِعَاتِ","Surat An-Naazi'aat","Those who drag forth","An-Naazi'aat"
80,"سُورَةُ عَبَسَ","Surat Abasa","He frowned","Abasa"
81,"سُورَةُ التَّكۡوِيرِ","Surat At-Takwir","The Overthrowing","At-Takwir"
82,"سُورَةُ الانفِطَارِ","Surat Al-Infitaar","The Cleaving","Al-Infitaar"
83,"سُورَةُ المُطَفِّفِينَ","Surat Al-Mutaffifin","Defrauding","Al-Mutaffifin"
84,"سُورَةُ الانشِقَاقِ","Surat Al-Inshiqaaq","The Splitting Open","Al-Inshiqaaq"
